area_code,area_name,district,dong,lat,lon,area_size
3111057,천호공원(해공체육문화센터),강동구,천호2동,37.54332876710307,127.12987932321663,116161
3110883,은천초등학교(은천교앞),관악구,보라매동,37.487223846511434,126.93703112025764,111515
3110884,봉천역 4번(봉천110안전센터),관악구,은천동,37.485206743766895,126.93923762562211,43849
3111003,삼전역 4번,송파구,잠실본동,37.504276899620265,127.0824809580479,272855
3111004,삼전역 1번,송파구,잠실본동,37.50671672745682,127.08515279573975,245561
3111005,삼전역 3번,송파구,삼전동,37.50146126676753,127.08868660012052,193689
3111006,석촌고분역 1번,송파구,삼전동,37.50490803067036,127.09397230648412,182032
3111059,강동역 4번(강풀만화거리),강동구,성내2동,37.533876788109865,127.13032680682069,282300
3110829,장승배기역 5번,동작구,노량진2동,37.507776431607745,126.93822404487153,92311
3110877,신림역 8번,관악구,신림동,37.48633867723095,126.93306314109579,103978
3111058,성내중학교,강동구,성내1동,37.529849435267344,127.13021797817682,39694
3110850,사당역 10번,동작구,사당1동,37.47941785252698,126.97815707930891,202958
3110851,경문고등학교(동작동성당),동작구,사당2동,37.49179797650655,126.9796687098256,115412
3110945,본마을노인복지센터(서초구립내곡도서관),서초구,내곡동,37.454900667788976,127.05258898631524,104024
3110946,청계산원터골,서초구,양재2동,37.44351010149928,127.05638926596025,17189
3110947,청계산입구역 2번(내곡동주민센터),서초구,내곡동,37.44649128517343,127.05879859538975,84941
3111060,암사역 2번(서울강동초등학교),강동구,천호2동,37.54699551295604,127.13016858602187,219221
3110860,호림박물관(성보고등학교),관악구,미성동,37.48176193235565,126.91925103502298,69058
3110861,관악구신사동주민센터,관악구,신사동,37.483905325185546,126.91779018557327,200822
3111019,한성백제역 3번,송파구,방이2동,37.513563462690406,127.11767970969707,182798
3111020,방이동고분군(방산고등학교),송파구,방이1동,37.50698317749334,127.1206099818534,28997
3110901,인헌고등학교(인헌중학교),관악구,인헌동,37.470369440518155,126.96815523319425,92180
3110902,사당역 4번,관악구,남현동,37.47420987457289,126.97740115501247,250733
3110903,방배아이파크아파트,서초구,방배본동,37.49217715544627,126.98467795466243,92803
3111031,장지동주민센터(한림연예예술고교),송파구,장지동,37.486051200890266,127.1305941940208,83345
3111032,방이역 1번,송파구,오금동,37.50879300826817,127.13021532267395,77913
3110862,난곡초등학교(난곡동벽화마을),관악구,난곡동,37.4718591698255,126.91827817871315,58047
3110913,방현초등학교(방배119안전센터),서초구,방배3동,37.476626146972635,126.9881405944352,148771
3110914,내방역 6번,서초구,방배4동,37.48956489631155,126.99115762197954,16286
3110930,서초동성당,서초구,서초1동,37.49252765149737,127.02113434425956,98532
3110931,삼성전자서울R&D(서울우면초등학교),서초구,양재1동,37.466137137513066,127.02086692437558,44205
3110932,서울시인재개발원,서초구,서초1동,37.48400374005414,127.02314450898045,40038
3110933,한국상담대학원대학교,서초구,서초1동,37.48654447590172,127.02368802557318,24916
3110934,우면주공아파트,서초구,양재1동,37.46893822662192,127.02616941071274,80617
3110935,한전아트센터,서초구,서초2동,37.486336610397004,127.02666167514542,32304
3110992,도곡초등학교,강남구,대치4동,37.50003036704142,127.05662399395345,138866
3110993,개포지하차도 북측,강남구,개포1동,37.477828636839426,127.05847266511807,37865
3110994,개포고등학교,강남구,개포2동,37.483386362629375,127.06142798105036,61589
3110995,봉은사역 4번,강남구,삼성1동,37.517155331127356,127.0628243482368,122757
3110996,대치2동주민센터,강남구,대치2동,37.50186467208032,127.06396507703604,112841
3110835,상도역 1번,동작구,상도1동,37.50196057073668,126.94783039548784,39906
3110836,상도역 5번,동작구,상도1동,37.50276399907485,126.95142621863678,239852
3110915,서래초등학교,서초구,방배본동,37.49500709788961,126.99289844460696,76657
